name,image_url,price
Kacamata Oakley Conductor 8.0 Metal Lensa Polarized 5 warna pilihan,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/30/2d85fa7e-30a5-4a59-990e-f936e90ae3f9.jpg,165000.0
frame kacamata pria oakley crosslink zero premium,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/22/b2c8dd37-7dab-48e5-b057-7af95f33b66d.jpg,200000.0
Kacamata Sunglasses Original Oakley Halfwire 2.0 Titanium Silver Chrom,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/12/adcf3976-77f7-4a76-b048-d82b0f996282.jpg,1750000.0
frame kacamata pria oakley Scavenger premium,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/22/0ca62acf-6fae-412d-a13f-31275b464fd5.jpg,230000.0
box kacamata Oakley full set box karton dan sarung lap lensa,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/5/54a664a1-19e5-4eef-a1e1-3838d2f0dc9b.jpg,18500.0
Frame Kacamata Minus Oakley Conductor 8 Lensa Photocromic,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/1/ef246e34-d86c-4869-af81-12ae12e4e530.jpg,180000.0
Kacamata Oakley Original Sunglass Holbrook (A) 9244-30,https://images.tokopedia.net/img/cache/200-square/product-1/2020/7/1/503992/503992_a8546f82-ff95-409d-9877-6055705b9e8c_1500_1500.jpg,2099000.0
NOSEPAD Frame kacamata OAKLEY CROSSLINK MNP OX8118 OX8117 OX8141,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/26/01d76d99-d1c9-48e7-b5f5-8561b5ef155b.jpg,335000.0
Kacamata pria frame Oakley kualitas premium frame dan lensa,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/2/2/682a2a4c-7d98-421f-ab1a-6b6d1457bf6e.jpg,95000.0
Kacamata Frame Pria Oakley 11-901 Matte Dark Grey Model Sporty,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/25/67db3927-e864-4706-981a-934b4c28f576.jpg,1275000.0
Frame Kacamata Oakley Original Metalink 8153-0555,https://images.tokopedia.net/img/cache/200-square/product-1/2019/8/25/503992/503992_8c037483-5133-4760-92d7-f4db37d0bc34_1500_1500.jpg,2099000.0
kacamata second oakley triggerman polorized,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/27/6c5e0c7c-7866-4eb0-8b2d-cca2f82a1f01.jpg,700000.0
KACAMATA SUPER POLARIZED MOTOGP VR46 HOLBROOK BEST QUALITY - OAKLEY,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/5/18/70a0ded7-fa89-4030-b3d4-503e2c0e69e3.jpg,195000.0
Frame Kacamata Oakley Original Hex Jector OX8174F-0256,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/30/258a0cf3-340d-4d04-9ab0-784dfff73ef8.jpg,1580000.0
kacamata Oakley Holbrook 8156,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/17/24bd6ff6-dbf6-422c-b25c-705cb4cfec38.jpg,1100000.0
